id,firstName,lastName,age,weight,gender,smoker
1,Peter,Fleming,14,219.9,M,FALSE
2,Kevin,Hebert,51,81.2,F,FALSE
3,Jason,Fischer,57,221.1,F,FALSE
4,Harold,Fowler,28,100,F,FALSE
5,Ryan,Garza,74,190.6,M,FALSE
6,Anthony,Ellis,7,97.1,M,TRUE
7,Scott,Bauer,107,219.4,F,FALSE
8,John,Curry,98,239.3,M,FALSE
9,Brandon,Orozco,31,211.6,M,FALSE
10,Andrew,Haley,106,218.3,F,FALSE
11,Alan,Saunders,50,101.2,M,FALSE
12,Justin,Mcmillan,71,180,F,FALSE
13,Larry,Ayala,59,101.5,F,FALSE
14,Joe,Hogan,39,83,F,FALSE
15,Austin,Grimes,15,83.9,F,FALSE
16,Nicholas,Morrow,22,113.6,M,FALSE
17,Randy,Mcintyre,107,229.4,F,TRUE
18,Adam,Yoder,13,112.6,F,FALSE
19,Douglas,Gillespie,10,85.9,M,FALSE
20,Gregory,Gonzalez,33,224,M,FALSE
21,Ralph,Enriquez,60,146,M,FALSE
22,Richard,Ortiz,63,262.3,F,FALSE
23,Scott,Estes,43,170.7,M,TRUE
24,Patrick,Whitaker,16,262.3,M,FALSE
25,Richard,Nichols,103,180.4,M,TRUE
26,Gabriel,Gonzales,76,206.7,F,FALSE
27,Robert,Benitez,10,113.7,F,TRUE
28,Nathan,Simmons,51,131.4,F,FALSE
29,Logan,Marquez,79,88.8,F,FALSE
30,Christopher,Perry,35,224.5,M,FALSE
31,Brian,Stuart,54,134.9,F,TRUE
32,David,Chandler,82,197,F,TRUE
33,Harold,Archer,25,201.5,F,FALSE
34,Jonathan,Stephenson,60,93.8,M,FALSE
35,Thomas,Gregory,5,179.2,M,FALSE
36,Jesse,Conrad,78,127.1,M,FALSE
37,Anthony,Holland,81,262,M,FALSE
38,Frank,Rivers,85,203.1,F,FALSE
39,Larry,Daugherty,56,271,F,TRUE
40,Aaron,Hayden,17,144.7,M,FALSE
41,Anthony,Ayers,19,128.2,F,TRUE
42,Daniel,Cunningham,93,189.1,M,FALSE
43,Jordan,Mccarty,25,218.8,M,FALSE
44,William,Frederick,13,160.7,F,FALSE
45,Austin,Barrera,4,101.4,M,FALSE
46,Mason,Fuentes,66,144.2,M,FALSE
47,Ralph,Rowe,68,178,F,TRUE
48,Jonathan,Mcintyre,68,219.1,F,TRUE
49,Steven,Mcfarland,17,224.1,M,FALSE
50,Austin,Berg,23,200.1,F,TRUE
51,Gerald,Jefferson,87,105.3,M,FALSE
52,Bryan,Hampton,66,235.3,M,FALSE
53,Kyle,Booker,52,139.4,F,FALSE
54,Daniel,Lugo,13,131.9,F,FALSE
55,Lawrence,Cain,38,129.1,F,FALSE
56,Thomas,Gutierrez,28,100.5,F,FALSE
57,Ralph,Berger,34,101.2,F,TRUE
58,Kyle,Roberts,21,80.9,M,FALSE
59,Jeremy,Hickman,19,139.8,F,TRUE
60,Mark,Byrd,85,169.5,F,TRUE
61,Steven,Nielsen,65,156.8,F,FALSE
62,Scott,Russo,56,130,M,FALSE
63,Mason,Larsen,55,233.2,M,FALSE
64,Sean,Beltran,78,213.8,F,FALSE
65,Kyle,Burton,57,255.7,F,FALSE
66,Gary,Crane,31,243.6,F,TRUE
67,Benjamin,Terry,26,231.2,M,FALSE
68,Ronald,Guevara,60,145.1,M,FALSE
69,Timothy,Wong,11,96.9,F,TRUE
70,Philip,Mathis,65,175.2,M,FALSE
71,Harold,Fisher,5,184.4,M,FALSE
72,Logan,Walters,5,248.8,M,TRUE
73,Gary,Daugherty,69,245.6,M,FALSE
74,Donald,Montgomery,29,239.3,M,FALSE
75,Sean,Mathews,37,106.7,F,TRUE
76,Gerald,Curtis,20,173.4,F,FALSE
77,Nicholas,Phillips,38,205.9,M,FALSE
78,Randy,Zamora,60,90.3,M,TRUE
79,Albert,Callahan,98,188.4,F,FALSE
80,Joe,Graham,72,203.3,F,FALSE
81,Bobby,Mcclure,49,267.1,M,FALSE
82,Joseph,Hail,18,136.6,F,FALSE
83,Edward,O’brien,49,130.1,M,FALSE
84,Roger,Greer,59,185.6,F,TRUE
85,Tyler,Petersen,110,273.5,F,TRUE
86,Richard,Clayton,67,122.1,F,FALSE
87,Gabriel,Burnett,4,179.1,M,FALSE
88,Eugene,Cook,25,203.6,F,FALSE
89,Gabriel,Holt,52,165,F,FALSE
90,Peter,Dunn,2,138.3,M,FALSE
91,James,Compton,107,213.6,F,FALSE
92,Jonathan,Villanueva,65,122.4,M,FALSE
93,Brandon,Poole,27,209.6,M,FALSE
94,Lawrence,Arias,44,245.4,M,FALSE
95,Dylan,Mendez,85,250,M,FALSE
96,Larry,Skinner,50,217.5,F,FALSE
97,Steven,Leblanc,7,106.2,F,FALSE
98,Thomas,Wells,36,257.6,F,FALSE
99,Samuel,Carson,96,205.9,F,FALSE
100,Mark,Castro,93,102.8,M,TRUE
101,Gerald,Kent,56,278,F,FALSE
102,Stephen,Bonilla,17,191.6,F,FALSE
103,Willie,Lynch,4,250.1,F,FALSE
104,Jerry,Stuart,12,83.9,M,FALSE
105,Eugene,Benitez,21,270.9,M,FALSE
106,Mark,Arroyo,83,138.7,M,FALSE
107,James,Dickerson,39,86.3,F,FALSE
108,Douglas,Ford,50,195.7,F,FALSE
109,Timothy,Wong,11,129.6,M,TRUE
110,Jacob,Dorsey,106,132,F,TRUE
111,Peter,Calhoun,77,124.4,F,FALSE
112,Carl,Boyer,41,245.1,M,FALSE
113,John,Barnes,23,203.2,F,FALSE
114,Russell,Buchanan,24,111.8,M,FALSE
115,Timothy,Rivers,32,271.5,F,FALSE
116,Kenneth,Esquivel,39,213.8,F,FALSE
117,Logan,Wallace,93,171.2,F,FALSE
118,Adam,Christensen,26,161.9,M,TRUE
119,Vincent,Phillips,40,121,M,FALSE
120,Jeremy,Walls,46,216.4,F,FALSE
121,Tyler,Ryan,37,234.1,F,FALSE
122,Gabriel,Larson,62,211,F,FALSE
123,Ronald,Church,73,273.4,F,FALSE
124,John,Gonzalez,27,183.8,F,FALSE
125,Roy,York,18,207.3,M,FALSE
126,Brian,Randolph,99,89.7,M,FALSE
127,Charles,Correa,14,268.4,M,FALSE
128,Gerald,Avalos,62,202.2,M,FALSE
129,Adam,Austin,42,203.8,M,TRUE
130,Douglas,Daniel,45,125.8,F,FALSE
131,Jerry,Lynn,86,121.4,F,FALSE
132,Joshua,Bautista,81,82.4,F,FALSE
133,Noah,Velasquez,43,100.8,M,FALSE
134,Gregory,Long,68,157.9,M,FALSE
135,Bradley,Kelley,103,109.6,M,FALSE
136,Richard,Grant,91,156,M,TRUE
137,Timothy,Pugh,3,119.5,F,TRUE
138,George,Clay,56,235,M,FALSE
139,Kevin,Brewer,62,168.3,F,FALSE
140,Dennis,Valdez,42,112,M,TRUE
141,Peter,Glenn,5,149.2,F,FALSE
142,William,Vincent,41,191.1,M,FALSE
143,Richard,Salinas,71,226.1,F,FALSE
144,Brian,Walters,92,136.7,M,FALSE
145,Nicholas,Ho,84,160.1,M,FALSE
146,Matthew,Whitaker,89,171.4,M,TRUE
147,Walter,Compton,33,116,F,FALSE
148,Steven,Russo,12,205.7,M,FALSE
149,Joshua,Villanueva,1,146.5,M,FALSE
