Email,Time,Confidence
stephen.marquard@uct.ac.za,9:14:16,0.8475
louis@media.berkeley.edu,18:10:48,0.6178
zqian@umich.edu,16:10:39,0.6961
rjlowe@iupui.edu,15:46:24,0.7565
zqian@umich.edu,15:03:18,0.7626
rjlowe@iupui.edu,14:50:18,0.7556
cwen@iupui.edu,11:37:30,0.7002
cwen@iupui.edu,11:35:08,0.7615
gsilver@umich.edu,11:12:37,0.7601
gsilver@umich.edu,11:11:52,0.7605
zqian@umich.edu,11:11:03,0.6959
gsilver@umich.edu,11:10:22,0.7606
wagnermr@iupui.edu,10:38:42,0.7559
zqian@umich.edu,10:17:42,0.7605
antranig@caret.cam.ac.uk,10:04:14,0.6932
gopal.ramasammycook@gmail.com,9:05:31,0.7558
david.horwitz@uct.ac.za,7:02:32,0.6526
david.horwitz@uct.ac.za,6:08:27,0.6948
david.horwitz@uct.ac.za,4:49:08,0.6528
david.horwitz@uct.ac.za,4:33:44,0.7002
stephen.marquard@uct.ac.za,4:07:34,0.7554
louis@media.berkeley.edu,19:51:20,0.6956
louis@media.berkeley.edu,17:18:23,0.6959
ray@media.berkeley.edu,17:07:00,0.7556
cwen@iupui.edu,16:34:40,0.9846
cwen@iupui.edu,16:29:07,0.8509
cwen@iupui.edu,16:23:48,0.9907
,Average,0.7507
